"","ramo","legislatura","nomeGruppo"
"21","camera",15,"SINISTRA DEMOCRATICA. PER IL SOCIALISMO EUROPEO (SDPSE) (16.05.2007-28.04.2008)"
"22","camera",15,"COMUNISTI ITALIANI (COM.IT.) (18.05.2006-28.04.2008)"
"23","camera",16,"POPOLO DELLA LIBERTA' (PDL) (05.05.2008-14.03.2013)"
"24","camera",16,"UNIONE DI CENTRO PER IL TERZO POLO (UDCPTP) (05.05.2008-14.03.2013)"
"25","camera",16,"MISTO (MISTO) (05.05.2008-14.03.2013)"
"26","camera",16,"LEGA NORD PADANIA (LNP) (05.05.2008-14.03.2013)"
"27","camera",16,"ITALIA DEI VALORI (IDV) (05.05.2008-14.03.2013)"
"28","camera",16,"PARTITO DEMOCRATICO (PD) (05.05.2008-14.03.2013)"
"29","camera",16,"FUTURO E LIBERTA' PER IL TERZO POLO (FLPTP) (30.07.2010-14.03.2013)"
"30","camera",16,"POPOLO E TERRITORIO (NOI SUD-LIBERTA' ED AUTONOMIA, POPOLARI D'ITALIA DOMANI-PID, MOVIMENTO DI RESPONSABILITA' NAZIONALE-MRN, AZIONE POPOLARE, ALLEANZA DI CENTRO-ADC, INTESA POPOLARE) (PT) (19.01.2011-14.03.2013)"
"31","camera",17,"FORZA ITALIA - IL POPOLO DELLA LIBERTA' - BERLUSCONI PRESIDENTE (FI-PDL) (19.03.2013"
"32","camera",17,"ALTERNATIVA POPOLARE-CENTRISTI PER L'EUROPA-NCD-NOI CON L'ITALIA (AP-CPE-NCD-NCI) (18.11.2013"
"33","camera",17,"PARTITO DEMOCRATICO (PD) (19.03.2013"
"34","camera",17,"ARTICOLO 1-MOVIMENTO DEMOCRATICO E PROGRESSISTA-LIBERI E UGUALI (MDP-LU) (28.02.2017"
"35","camera",17,"CIVICI E INNOVATORI (CI) (19.03.2013-10.07.2017)"
"36","camera",17,"DEMOCRAZIA SOLIDALE - CENTRO DEMOCRATICO (DES-CD) (10.12.2013"
"37","camera",17,"MISTO (MISTO) (19.03.2013"
"38","camera",17,"FRATELLI D'ITALIA-ALLEANZA NAZIONALE (FDI-AN) (03.04.2013"
"39","camera",17,"NOI CON L'ITALIA-SCELTA CIVICA PER L'ITALIA-MAIE (NCI-SCPI-MAIE) (13.10.2016"
"40","camera",17,"LEGA NORD E AUTONOMIE - LEGA DEI POPOLI - NOI CON SALVINI (LNA) (19.03.2013"
"41","camera",17,"SINISTRA ITALIANA - SINISTRA ECOLOGIA LIBERTA' - POSSIBILE - LIBERI E UGUALI (SI-SEL-POS-LU) (19.03.2013"
"42","camera",17,"MOVIMENTO 5 STELLE (M5S) (19.03.2013"
"43","camera",18,"LEGA - SALVINI PREMIER (LEGA) (27.03.2018"
"44","camera",18,"MISTO (MISTO) (23.03.2018"
"45","camera",18,"LIBERI E UGUALI-ARTICOLO 1-SINISTRA ITALIANA (LEU-ART 1-SI) (10.04.2018"
"46","camera",18,"PARTITO DEMOCRATICO (PD) (27.03.2018"
"47","camera",18,"FORZA ITALIA - BERLUSCONI PRESIDENTE (FI) (27.03.2018"
"48","camera",18,"FRATELLI D'ITALIA (FDI) (27.03.2018"
"49","camera",18,"CORAGGIO ITALIA (CI) (27.05.2021-23.06.2022)"
"50","camera",18,"ITALIA VIVA-ITALIA C'E' (IV-IC'E') (19.09.2019"
"51","camera",18,"MOVIMENTO 5 STELLE (M5S) (27.03.2018"
"52","camera",18,"INSIEME PER IL FUTURO - IMPEGNO CIVICO (IPF-IC) (21.06.2022"
"53","camera",19,"FRATELLI D'ITALIA (FDI) (18.10.2022"
"54","camera",19,"FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (FI-PPE) (18.10.2022"
"55","camera",19,"MISTO (MISTO) (18.10.2022"
"56","camera",19,"NOI MODERATI (NOI CON L'ITALIA, CORAGGIO ITALIA, UDC E ITALIA AL CENTRO)-MAIE-CENTRO POPOLARE (NM(N-C-U-I)M-CP) (27.10.2022"
"57","camera",19,"ALLEANZA VERDI E SINISTRA (AVS) (27.10.2022"
"58","camera",19,"AZIONE-POPOLARI EUROPEISTI RIFORMATORI-RENEW EUROPE (AZ-PER-RE) (18.10.2022"
"59","camera",19,"ITALIA VIVA-IL CENTRO-RENEW EUROPE (IV-C-RE) (20.11.2023"
"60","camera",19,"LEGA - SALVINI PREMIER (LEGA) (18.10.2022"
"61","camera",19,"PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP) (18.10.2022"
"62","camera",19,"MOVIMENTO 5 STELLE (M5S) (18.10.2022"
"63","senato",14,"Margherita"
"64","senato",14,"Margherita - DL - L'Ulivo"
"65","senato",14,"Forza Italia"
"66","senato",14,"Misto"
"67","senato",14,"Alleanza Nazionale"
"68","senato",14,"Democratici di Sinistra - l'Ulivo"
"69","senato",14,"Per le Autonomie"
"70","senato",14,"Lega Nord Padania"
"71","senato",14,"Lega Padana"
"72","senato",14,"CCD-CDU: Biancofiore"
"73","senato",14,"Verdi - l'Ulivo"
"74","senato",14,"Unione Democristiana e di Centro"
"75","senato",14,"Verdi - l'Unione"
"76","senato",15,"L'Ulivo"
"77","senato",15,"Per le Autonomie"
"78","senato",15,"Sinistra Democratica per il Socialismo Europeo"
"79","senato",15,"Misto"
"80","senato",15,"Rifondazione Comunista - Sinistra Europea"
"81","senato",15,"Lega Nord Padania"
"82","senato",15,"Forza Italia"
"83","senato",15,"Alleanza Nazionale"
"84","senato",15,"Unione dei Democraticicristiani e di Centro (UDC)"
"85","senato",15,"Insieme con l'Unione Verdi - Comunisti Italiani"
"86","senato",15,"Democrazia Cristiana-P. repubblicano ital-Indip.-Mov. per l'Autonomia"
"87","senato",15,"Democrazia Cristiana - Indipendenti - Movimento per l'Autonomia"
"88","senato",15,"Partito Democratico-L'Ulivo"
"89","senato",16,"Partito Democratico"
"90","senato",16,"Unione di Centro, SVP e Autonomie (Union Valdôtaine, MAIE, Io Sud, Movimento Repubblicani Europei)"
"91","senato",16,"Unione di Centro, SVP e Autonomie (UnioneValdôtaine, MAIE, VersoNord, Movimento Repubblicani Europei, Partito Liberale Italiano)"
"92","senato",16,"Il Popolo della Libertà"
"93","senato",16,"Misto"
"94","senato",16,"UDC, SVP e Autonomie"
"95","senato",16,"Coesione Nazionale"
"96","senato",16,"Coesione Nazionale (Grande Sud-Sì Sindaci-Popolari d'Italia Domani-Il Buongoverno-Fare Italia)"
"97","senato",16,"Fratelli d'Italia - Centrodestra Nazionale"
"98","senato",16,"Lega Nord Padania"
"99","senato",16,"Coesione Nazionale-Io Sud-Forza del Sud"
"100","senato",16,"Italia dei Valori"
"101","senato",16,"Per il Terzo Polo (ApI-FLI)"
"102","senato",16,"Futuro e Libertà per l'Italia"
"103","senato",16,"Coesione Nazionale (Grande Sud-SI-PID-Il Buongoverno)"
"104","senato",16,"UDC,SVP,Io Sud e Autonomie"
"105","senato",16,"Coesione Nazionale - Io Sud"
"106","senato",16,"Unione di Centro, SVP e Autonomie (Union Valdôtaine, MAIE, Verso Nord, Movimento Repubblicani Europei, Partito Liberale Italiano, Partito Socialista Italiano)"
"107","senato",17,"Movimento 5 Stelle"
"108","senato",17,"Misto"
"109","senato",17,"Alleanza Liberalpopolare-Autonomie"
"110","senato",17,"Per le Autonomie (SVP, UV, PATT, UPT) - PSI"
"111","senato",17,"Scelta Civica per l'Italia"
"112","senato",17,"Per l'Italia"
"113","senato",17,"Area Popolare (NCD-UDC)"
"114","senato",17,"Il Popolo della Libertà"
"115","senato",17,"Partito Democratico"
"116","senato",17,"Nuovo Centrodestra"
"117","senato",17,"Grandi Autonomie e Libertà (Grande Sud, Popolari per l'Italia, Federazione dei Verdi, Moderati, Movimento Base Italia, Idea)"
"118","senato",17,"Conservatori e Riformisti"
"119","senato",17,"Grandi Autonomie e Libertà (Grande Sud, Popolari per l'Italia, Moderati, Idea, Euro-Exit, M.P.L. - Movimento politico Libertas, Riscossa Italia)"
"120","senato",17,"Federazione della Libertà (Idea-Popolo e Libertà, PLI)"
"121","senato",17,"Per le Autonomie (SVP-UV-PATT-UPT)-PSI-MAIE"
"122","senato",17,"Grandi Autonomie e Libertà"
"123","senato",17,"Conservatori, Riformisti italiani"
"124","senato",17,"Forza Italia-Il Popolo della Libertà XVII Legislatura"
"125","senato",17,"Grandi Autonomie e Libertà - Unione dei Democratici Cristiani e Democratici di Centro"
"126","senato",17,"Alleanza Liberalpopolare-Autonomie (Movimento per le Autonomie)"
"127","senato",17,"Noi con l'Italia"
"128","senato",17,"Grandi Autonomie e Libertà (Grande Sud, Libertà e Autonomia-noi SUD, Movimento per le Autonomie, Nuovo PSI, Popolari per l'Italia)"
"129","senato",17,"Grandi Autonomie e Libertà (Grande Sud, Libertà e Autonomia-noi SUD, Movimento per le Autonomie, Nuovo PSI, Popolari per l'Italia, Italia dei Valori, Vittime della Giustizia e del Fisco)"
"130","senato",17,"Grandi Autonomie e Libertà (Direzione Italia, Idea, Grande Sud, Moderati, M.P.L. - Movimento politico Libertas, Riscossa Italia, Euro-Exit)"
"131","senato",17,"Alternativa Popolare - Centristi per l'Europa - NCD"
"132","senato",17,"Articolo 1 - Movimento democratico e progressista"
"133","senato",17,"Lega Nord e Autonomie"
"134","senato",17,"ALA - Alleanza Liberalpopolare Autonomie"
"135","senato",17,"Grandi Autonomie e Libertà (Grande Sud, Movimento per le Autonomie, Nuovo PSI, Popolari per l'Italia, Italia dei Valori, Vittime della Giustizia e del Fisco, Federazione dei Verdi)"
"136","senato",17,"ALA (Alleanza Liberal Popolare) - PRI (Partito Repubblicano Italiano)"
"137","senato",17,"Grandi Autonomie e Libertà (Grande Sud, Popolari per l'Italia, Moderati, Idea, Euro-Exit, M.P.L.-Movimento politico Libertas)"
"138","senato",17,"Grandi Autonomie e Libertà (Grande Sud, Popolari per l'Italia, Federazione dei Verdi, Moderati)"
"139","senato",17,"Grandi Autonomie e Libertà (Grande Sud, Popolari per l'Italia, Moderati, Movimento Base Italia, Idea, Euro-Exit)"
"140","senato",18,"Fratelli d'Italia"
"141","senato",18,"Misto"
"142","senato",18,"Europeisti-MAIE-Centro Democratico"
"143","senato",18,"Forza Italia-Berlusconi Presidente"
"144","senato",18,"MoVimento 5 Stelle"
"145","senato",18,"Partito Democratico"
"146","senato",18,"Per le Autonomie (SVP-PATT, UV)"
"147","senato",18,"Lega-Salvini Premier"
"148","senato",18,"Lega-Salvini Premier-Partito Sardo d'Azione"
"149","senato",18,"Italia Viva-P.S.I."
"150","senato",18,"Insieme per il futuro - Centro Democratico"
"151","senato",18,"C.A.L. (Costituzione, Ambiente, Lavoro)-Pc-Idv"
"152","senato",18,"C.A.L. (Costituzione, Ambiente, Lavoro)-Alternativa-P.C.-I.d.V."
"153","senato",18,"Forza Italia Berlusconi Presidente-UDC"
"154","senato",19,"MoVimento 5 Stelle"
"155","senato",19,"Fratelli d'Italia"
"156","senato",19,"Forza Italia - Berlusconi Presidente - PPE"
"157","senato",19,"Partito Democratico - Italia Democratica e Progressista"
"158","senato",19,"Lega Salvini Premier - Partito Sardo d'Azione"
"159","senato",19,"Italia Viva - Il Centro - Renew Europe"
"160","senato",19,"Civici d'Italia - Noi Moderati (UDC - Coraggio Italia - Noi con l'Italia - Italia al Centro) - MAIE"
"161","senato",19,"Misto"
"162","senato",19,"Per le Autonomie (SVP-PATT, Campobase)"
"163","senato",19,"Azione-ItaliaViva-RenewEurope"
"164","senato",19,"Per le Autonomie (SVP-Patt, Campobase, Sud Chiama Nord)"
"165","senato",19,"Civici d'Italia-UDC-Noi Moderati (Noi con l'Italia, Coraggio Italia, Italia al Centro)-MAIE-Centro Popolare"
