"Provincia","Comune","Cognome","Nome","Lista","Voti"
"AREZZO","BADIA TEDALDA","TOMASI","ALESSANDRO","E' ORA! LISTA CIVICA TOMASI PRESIDENTE",3
"AREZZO","BADIA TEDALDA","MORO BUNDU","ANTONELLA","TOSCANA ROSSA",11
"AREZZO","BIBBIENA","TOMASI","ALESSANDRO","E' ORA! LISTA CIVICA TOMASI PRESIDENTE",1698
"AREZZO","BIBBIENA","TOMASI","ALESSANDRO","FRATELLI D'ITALIA",661
"AREZZO","BIBBIENA","TOMASI","ALESSANDRO","FORZA ITALIA-UDC-TOMASI PRESIDENTE",279
"AREZZO","BIBBIENA","TOMASI","ALESSANDRO","LEGA TOSCANA PER SALVINI PREMIER",127
"AREZZO","BIBBIENA","TOMASI","ALESSANDRO","NOI MODERATI CIVICI PER TOMASI",46
"AREZZO","BIBBIENA","GIANI","EUGENIO","PARTITO DEMOCRATICO",1200
"AREZZO","BIBBIENA","GIANI","EUGENIO","ALLEANZA VERDI E SINISTRA",234
"AREZZO","BIBBIENA","GIANI","EUGENIO","EUGENIO GIANI PRESIDENTE CASA RIFORMISTA",225
"AREZZO","BIBBIENA","GIANI","EUGENIO","MOVIMENTO 5 STELLE",123
"AREZZO","BIBBIENA","MORO BUNDU","ANTONELLA","TOSCANA ROSSA",101
"AREZZO","BUCINE","GIANI","EUGENIO","PARTITO DEMOCRATICO",1535
"AREZZO","BUCINE","GIANI","EUGENIO","EUGENIO GIANI PRESIDENTE CASA RIFORMISTA",300
"AREZZO","BUCINE","GIANI","EUGENIO","MOVIMENTO 5 STELLE",146
"AREZZO","BUCINE","GIANI","EUGENIO","ALLEANZA VERDI E SINISTRA",106
"AREZZO","BUCINE","TOMASI","ALESSANDRO","FRATELLI D'ITALIA",880
"AREZZO","BUCINE","TOMASI","ALESSANDRO","LEGA TOSCANA PER SALVINI PREMIER",149
"AREZZO","BUCINE","TOMASI","ALESSANDRO","FORZA ITALIA-UDC-TOMASI PRESIDENTE",143
"AREZZO","BUCINE","TOMASI","ALESSANDRO","E' ORA! LISTA CIVICA TOMASI PRESIDENTE",66
"AREZZO","BUCINE","TOMASI","ALESSANDRO","NOI MODERATI CIVICI PER TOMASI",47
"AREZZO","BUCINE","MORO BUNDU","ANTONELLA","TOSCANA ROSSA",86
"AREZZO","CAPOLONA","GIANI","EUGENIO","PARTITO DEMOCRATICO",484
"AREZZO","CAPOLONA","GIANI","EUGENIO","EUGENIO GIANI PRESIDENTE CASA RIFORMISTA",259
"AREZZO","CAPOLONA","GIANI","EUGENIO","ALLEANZA VERDI E SINISTRA",97
"AREZZO","CAPOLONA","GIANI","EUGENIO","MOVIMENTO 5 STELLE",75
"AREZZO","CAPOLONA","TOMASI","ALESSANDRO","FRATELLI D'ITALIA",502
"AREZZO","CAPOLONA","TOMASI","ALESSANDRO","FORZA ITALIA-UDC-TOMASI PRESIDENTE",112
"AREZZO","CAPOLONA","TOMASI","ALESSANDRO","E' ORA! LISTA CIVICA TOMASI PRESIDENTE",100
"AREZZO","CAPOLONA","TOMASI","ALESSANDRO","LEGA TOSCANA PER SALVINI PREMIER",96
"AREZZO","CAPOLONA","TOMASI","ALESSANDRO","NOI MODERATI CIVICI PER TOMASI",25
"AREZZO","CAPOLONA","MORO BUNDU","ANTONELLA","TOSCANA ROSSA",42
"AREZZO","CAPRESE MICHELANGELO","TOMASI","ALESSANDRO","FRATELLI D'ITALIA",147
"AREZZO","CAPRESE MICHELANGELO","TOMASI","ALESSANDRO","FORZA ITALIA-UDC-TOMASI PRESIDENTE",24
"AREZZO","CAPRESE MICHELANGELO","TOMASI","ALESSANDRO","LEGA TOSCANA PER SALVINI PREMIER",14
"AREZZO","CAPRESE MICHELANGELO","TOMASI","ALESSANDRO","NOI MODERATI CIVICI PER TOMASI",9
"AREZZO","CAPRESE MICHELANGELO","TOMASI","ALESSANDRO","E' ORA! LISTA CIVICA TOMASI PRESIDENTE",8
"AREZZO","CAPRESE MICHELANGELO","GIANI","EUGENIO","PARTITO DEMOCRATICO",105
"AREZZO","CAPRESE MICHELANGELO","GIANI","EUGENIO","EUGENIO GIANI PRESIDENTE CASA RIFORMISTA",39
"AREZZO","CAPRESE MICHELANGELO","GIANI","EUGENIO","MOVIMENTO 5 STELLE",12
"AREZZO","CAPRESE MICHELANGELO","GIANI","EUGENIO","ALLEANZA VERDI E SINISTRA",11
"AREZZO","CAPRESE MICHELANGELO","MORO BUNDU","ANTONELLA","TOSCANA ROSSA",5
"AREZZO","CASTEL FOCOGNANO","TOMASI","ALESSANDRO","E' ORA! LISTA CIVICA TOMASI PRESIDENTE",303
"AREZZO","CASTEL FOCOGNANO","TOMASI","ALESSANDRO","FRATELLI D'ITALIA",224
"AREZZO","CASTEL FOCOGNANO","TOMASI","ALESSANDRO","LEGA TOSCANA PER SALVINI PREMIER",38
"AREZZO","CASTEL FOCOGNANO","TOMASI","ALESSANDRO","FORZA ITALIA-UDC-TOMASI PRESIDENTE",25
"AREZZO","CASTEL FOCOGNANO","TOMASI","ALESSANDRO","NOI MODERATI CIVICI PER TOMASI",9
"AREZZO","CASTEL FOCOGNANO","GIANI","EUGENIO","PARTITO DEMOCRATICO",264
"AREZZO","CASTEL FOCOGNANO","GIANI","EUGENIO","EUGENIO GIANI PRESIDENTE CASA RIFORMISTA",87
"AREZZO","CASTEL FOCOGNANO","GIANI","EUGENIO","ALLEANZA VERDI E SINISTRA",62
"AREZZO","CASTEL FOCOGNANO","GIANI","EUGENIO","MOVIMENTO 5 STELLE",36
"AREZZO","CASTEL FOCOGNANO","MORO BUNDU","ANTONELLA","TOSCANA ROSSA",25
"AREZZO","CASTELFRANCO PIANDISCO'","GIANI","EUGENIO","PARTITO DEMOCRATICO",1336
"AREZZO","CASTELFRANCO PIANDISCO'","GIANI","EUGENIO","EUGENIO GIANI PRESIDENTE CASA RIFORMISTA",269
"AREZZO","CASTELFRANCO PIANDISCO'","GIANI","EUGENIO","MOVIMENTO 5 STELLE",171
"AREZZO","CASTELFRANCO PIANDISCO'","GIANI","EUGENIO","ALLEANZA VERDI E SINISTRA",145
"AREZZO","CASTELFRANCO PIANDISCO'","TOMASI","ALESSANDRO","FRATELLI D'ITALIA",1051
"AREZZO","CASTELFRANCO PIANDISCO'","TOMASI","ALESSANDRO","FORZA ITALIA-UDC-TOMASI PRESIDENTE",145
"AREZZO","CASTELFRANCO PIANDISCO'","TOMASI","ALESSANDRO","LEGA TOSCANA PER SALVINI PREMIER",117
"AREZZO","CASTELFRANCO PIANDISCO'","TOMASI","ALESSANDRO","E' ORA! LISTA CIVICA TOMASI PRESIDENTE",53
"AREZZO","CASTELFRANCO PIANDISCO'","TOMASI","ALESSANDRO","NOI MODERATI CIVICI PER TOMASI",43
"AREZZO","CASTELFRANCO PIANDISCO'","MORO BUNDU","ANTONELLA","TOSCANA ROSSA",164
"AREZZO","CASTEL SAN NICCOLO'","TOMASI","ALESSANDRO","E' ORA! LISTA CIVICA TOMASI PRESIDENTE",181
"AREZZO","CASTEL SAN NICCOLO'","TOMASI","ALESSANDRO","FRATELLI D'ITALIA",176
"AREZZO","CASTEL SAN NICCOLO'","TOMASI","ALESSANDRO","FORZA ITALIA-UDC-TOMASI PRESIDENTE",48
"AREZZO","CASTEL SAN NICCOLO'","TOMASI","ALESSANDRO","LEGA TOSCANA PER SALVINI PREMIER",47
"AREZZO","CASTEL SAN NICCOLO'","TOMASI","ALESSANDRO","NOI MODERATI CIVICI PER TOMASI",10
"AREZZO","CASTEL SAN NICCOLO'","GIANI","EUGENIO","PARTITO DEMOCRATICO",278
"AREZZO","CASTEL SAN NICCOLO'","GIANI","EUGENIO","EUGENIO GIANI PRESIDENTE CASA RIFORMISTA",65
"AREZZO","CASTEL SAN NICCOLO'","GIANI","EUGENIO","ALLEANZA VERDI E SINISTRA",41
"AREZZO","CASTEL SAN NICCOLO'","GIANI","EUGENIO","MOVIMENTO 5 STELLE",24
"AREZZO","CASTEL SAN NICCOLO'","MORO BUNDU","ANTONELLA","TOSCANA ROSSA",34
"AREZZO","CASTIGLION FIBOCCHI","TOMASI","ALESSANDRO","FRATELLI D'ITALIA",213
"AREZZO","CASTIGLION FIBOCCHI","TOMASI","ALESSANDRO","E' ORA! LISTA CIVICA TOMASI PRESIDENTE",83
"AREZZO","CASTIGLION FIBOCCHI","TOMASI","ALESSANDRO","FORZA ITALIA-UDC-TOMASI PRESIDENTE",63
"AREZZO","CASTIGLION FIBOCCHI","TOMASI","ALESSANDRO","LEGA TOSCANA PER SALVINI PREMIER",60
"AREZZO","CASTIGLION FIBOCCHI","TOMASI","ALESSANDRO","NOI MODERATI CIVICI PER TOMASI",21
"AREZZO","CASTIGLION FIBOCCHI","GIANI","EUGENIO","PARTITO DEMOCRATICO",213
"AREZZO","CASTIGLION FIBOCCHI","GIANI","EUGENIO","EUGENIO GIANI PRESIDENTE CASA RIFORMISTA",88
"AREZZO","CASTIGLION FIBOCCHI","GIANI","EUGENIO","ALLEANZA VERDI E SINISTRA",25
"AREZZO","CASTIGLION FIBOCCHI","GIANI","EUGENIO","MOVIMENTO 5 STELLE",20
"AREZZO","CASTIGLION FIBOCCHI","MORO BUNDU","ANTONELLA","TOSCANA ROSSA",18
"AREZZO","CASTIGLION FIORENTINO","TOMASI","ALESSANDRO","FRATELLI D'ITALIA",1744
"AREZZO","CASTIGLION FIORENTINO","TOMASI","ALESSANDRO","LEGA TOSCANA PER SALVINI PREMIER",432
"AREZZO","CASTIGLION FIORENTINO","TOMASI","ALESSANDRO","FORZA ITALIA-UDC-TOMASI PRESIDENTE",248
"AREZZO","CASTIGLION FIORENTINO","TOMASI","ALESSANDRO","NOI MODERATI CIVICI PER TOMASI",78
"AREZZO","CASTIGLION FIORENTINO","TOMASI","ALESSANDRO","E' ORA! LISTA CIVICA TOMASI PRESIDENTE",77
"AREZZO","CASTIGLION FIORENTINO","GIANI","EUGENIO","PARTITO DEMOCRATICO",1438
"AREZZO","CASTIGLION FIORENTINO","GIANI","EUGENIO","EUGENIO GIANI PRESIDENTE CASA RIFORMISTA",301
"AREZZO","CASTIGLION FIORENTINO","GIANI","EUGENIO","MOVIMENTO 5 STELLE",139
"AREZZO","CASTIGLION FIORENTINO","GIANI","EUGENIO","ALLEANZA VERDI E SINISTRA",116
"AREZZO","CASTIGLION FIORENTINO","MORO BUNDU","ANTONELLA","TOSCANA ROSSA",65
"AREZZO","CAVRIGLIA","GIANI","EUGENIO","PARTITO DEMOCRATICO",2811
"AREZZO","CAVRIGLIA","GIANI","EUGENIO","MOVIMENTO 5 STELLE",112
"AREZZO","CAVRIGLIA","GIANI","EUGENIO","EUGENIO GIANI PRESIDENTE CASA RIFORMISTA",85
"AREZZO","CAVRIGLIA","GIANI","EUGENIO","ALLEANZA VERDI E SINISTRA",72
"AREZZO","CAVRIGLIA","TOMASI","ALESSANDRO","FRATELLI D'ITALIA",543
"AREZZO","CAVRIGLIA","TOMASI","ALESSANDRO","LEGA TOSCANA PER SALVINI PREMIER",93
"AREZZO","CAVRIGLIA","TOMASI","ALESSANDRO","FORZA ITALIA-UDC-TOMASI PRESIDENTE",79
"AREZZO","CAVRIGLIA","TOMASI","ALESSANDRO","E' ORA! LISTA CIVICA TOMASI PRESIDENTE",32
"AREZZO","CAVRIGLIA","TOMASI","ALESSANDRO","NOI MODERATI CIVICI PER TOMASI",25
"AREZZO","CAVRIGLIA","MORO BUNDU","ANTONELLA","TOSCANA ROSSA",119
"AREZZO","CHITIGNANO","GIANI","EUGENIO","PARTITO DEMOCRATICO",124
"AREZZO","CHITIGNANO","GIANI","EUGENIO","ALLEANZA VERDI E SINISTRA",18
"AREZZO","CHITIGNANO","GIANI","EUGENIO","EUGENIO GIANI PRESIDENTE CASA RIFORMISTA",17
"AREZZO","CHITIGNANO","GIANI","EUGENIO","MOVIMENTO 5 STELLE",10
"AREZZO","CHITIGNANO","TOMASI","ALESSANDRO","FRATELLI D'ITALIA",67
"AREZZO","CHITIGNANO","TOMASI","ALESSANDRO","E' ORA! LISTA CIVICA TOMASI PRESIDENTE",38
"AREZZO","CHITIGNANO","TOMASI","ALESSANDRO","FORZA ITALIA-UDC-TOMASI PRESIDENTE",31
"AREZZO","CHITIGNANO","TOMASI","ALESSANDRO","LEGA TOSCANA PER SALVINI PREMIER",18
"AREZZO","CHITIGNANO","TOMASI","ALESSANDRO","NOI MODERATI CIVICI PER TOMASI",3
"AREZZO","CHITIGNANO","MORO BUNDU","ANTONELLA","TOSCANA ROSSA",6
"AREZZO","CHIUSI DELLA VERNA","TOMASI","ALESSANDRO","E' ORA! LISTA CIVICA TOMASI PRESIDENTE",233
"AREZZO","CHIUSI DELLA VERNA","TOMASI","ALESSANDRO","FRATELLI D'ITALIA",118
"AREZZO","CHIUSI DELLA VERNA","TOMASI","ALESSANDRO","FORZA ITALIA-UDC-TOMASI PRESIDENTE",35
"AREZZO","CHIUSI DELLA VERNA","TOMASI","ALESSANDRO","LEGA TOSCANA PER SALVINI PREMIER",16
"AREZZO","CHIUSI DELLA VERNA","TOMASI","ALESSANDRO","NOI MODERATI CIVICI PER TOMASI",10
"AREZZO","CHIUSI DELLA VERNA","GIANI","EUGENIO","PARTITO DEMOCRATICO",340
"AREZZO","CHIUSI DELLA VERNA","GIANI","EUGENIO","ALLEANZA VERDI E SINISTRA",36
"AREZZO","CHIUSI DELLA VERNA","GIANI","EUGENIO","MOVIMENTO 5 STELLE",22
"AREZZO","CHIUSI DELLA VERNA","GIANI","EUGENIO","EUGENIO GIANI PRESIDENTE CASA RIFORMISTA",19
"AREZZO","CHIUSI DELLA VERNA","MORO BUNDU","ANTONELLA","TOSCANA ROSSA",16
"AREZZO","CIVITELLA IN VAL DI CHIANA","GIANI","EUGENIO","PARTITO DEMOCRATICO",1114
"AREZZO","CIVITELLA IN VAL DI CHIANA","GIANI","EUGENIO","EUGENIO GIANI PRESIDENTE CASA RIFORMISTA",260
"AREZZO","CIVITELLA IN VAL DI CHIANA","GIANI","EUGENIO","ALLEANZA VERDI E SINISTRA",147
"AREZZO","CIVITELLA IN VAL DI CHIANA","GIANI","EUGENIO","MOVIMENTO 5 STELLE",111
"AREZZO","CIVITELLA IN VAL DI CHIANA","TOMASI","ALESSANDRO","FRATELLI D'ITALIA",924
"AREZZO","CIVITELLA IN VAL DI CHIANA","TOMASI","ALESSANDRO","LEGA TOSCANA PER SALVINI PREMIER",290
"AREZZO","CIVITELLA IN VAL DI CHIANA","TOMASI","ALESSANDRO","FORZA ITALIA-UDC-TOMASI PRESIDENTE",169
"AREZZO","CIVITELLA IN VAL DI CHIANA","TOMASI","ALESSANDRO","E' ORA! LISTA CIVICA TOMASI PRESIDENTE",52
"AREZZO","CIVITELLA IN VAL DI CHIANA","TOMASI","ALESSANDRO","NOI MODERATI CIVICI PER TOMASI",46
"AREZZO","CIVITELLA IN VAL DI CHIANA","MORO BUNDU","ANTONELLA","TOSCANA ROSSA",57
"AREZZO","CORTONA","GIANI","EUGENIO","PARTITO DEMOCRATICO",2982
"AREZZO","CORTONA","GIANI","EUGENIO","EUGENIO GIANI PRESIDENTE CASA RIFORMISTA",370
"AREZZO","CORTONA","GIANI","EUGENIO","ALLEANZA VERDI E SINISTRA",239
"AREZZO","CORTONA","GIANI","EUGENIO","MOVIMENTO 5 STELLE",176
"AREZZO","CORTONA","TOMASI","ALESSANDRO","FRATELLI D'ITALIA",1977
"AREZZO","CORTONA","TOMASI","ALESSANDRO","FORZA ITALIA-UDC-TOMASI PRESIDENTE",662
"AREZZO","CORTONA","TOMASI","ALESSANDRO","LEGA TOSCANA PER SALVINI PREMIER",482
"AREZZO","CORTONA","TOMASI","ALESSANDRO","NOI MODERATI CIVICI PER TOMASI",207
"AREZZO","CORTONA","TOMASI","ALESSANDRO","E' ORA! LISTA CIVICA TOMASI PRESIDENTE",91
"AREZZO","CORTONA","MORO BUNDU","ANTONELLA","TOSCANA ROSSA",151
"AREZZO","FOIANO DELLA CHIANA","GIANI","EUGENIO","PARTITO DEMOCRATICO",1168
"AREZZO","FOIANO DELLA CHIANA","GIANI","EUGENIO","EUGENIO GIANI PRESIDENTE CASA RIFORMISTA",166
"AREZZO","FOIANO DELLA CHIANA","GIANI","EUGENIO","MOVIMENTO 5 STELLE",88
"AREZZO","FOIANO DELLA CHIANA","GIANI","EUGENIO","ALLEANZA VERDI E SINISTRA",61
"AREZZO","FOIANO DELLA CHIANA","TOMASI","ALESSANDRO","FRATELLI D'ITALIA",693
"AREZZO","FOIANO DELLA CHIANA","TOMASI","ALESSANDRO","FORZA ITALIA-UDC-TOMASI PRESIDENTE",152
"AREZZO","FOIANO DELLA CHIANA","TOMASI","ALESSANDRO","LEGA TOSCANA PER SALVINI PREMIER",129
"AREZZO","FOIANO DELLA CHIANA","TOMASI","ALESSANDRO","E' ORA! LISTA CIVICA TOMASI PRESIDENTE",51
"AREZZO","FOIANO DELLA CHIANA","TOMASI","ALESSANDRO","NOI MODERATI CIVICI PER TOMASI",29
"AREZZO","FOIANO DELLA CHIANA","MORO BUNDU","ANTONELLA","TOSCANA ROSSA",52
"AREZZO","LATERINA PERGINE VALDARNO","GIANI","EUGENIO","PARTITO DEMOCRATICO",771
"AREZZO","LATERINA PERGINE VALDARNO","GIANI","EUGENIO","EUGENIO GIANI PRESIDENTE CASA RIFORMISTA",207
"AREZZO","LATERINA PERGINE VALDARNO","GIANI","EUGENIO","MOVIMENTO 5 STELLE",85
"AREZZO","LATERINA PERGINE VALDARNO","GIANI","EUGENIO","ALLEANZA VERDI E SINISTRA",52
"AREZZO","LATERINA PERGINE VALDARNO","TOMASI","ALESSANDRO","FRATELLI D'ITALIA",617
"AREZZO","LATERINA PERGINE VALDARNO","TOMASI","ALESSANDRO","FORZA ITALIA-UDC-TOMASI PRESIDENTE",97
"AREZZO","LATERINA PERGINE VALDARNO","TOMASI","ALESSANDRO","LEGA TOSCANA PER SALVINI PREMIER",83
"AREZZO","LATERINA PERGINE VALDARNO","TOMASI","ALESSANDRO","NOI MODERATI CIVICI PER TOMASI",57
"AREZZO","LATERINA PERGINE VALDARNO","TOMASI","ALESSANDRO","E' ORA! LISTA CIVICA TOMASI PRESIDENTE",49
"AREZZO","LATERINA PERGINE VALDARNO","MORO BUNDU","ANTONELLA","TOSCANA ROSSA",61
"AREZZO","LORO CIUFFENNA","GIANI","EUGENIO","PARTITO DEMOCRATICO",841
"AREZZO","LORO CIUFFENNA","GIANI","EUGENIO","EUGENIO GIANI PRESIDENTE CASA RIFORMISTA",214
"AREZZO","LORO CIUFFENNA","GIANI","EUGENIO","ALLEANZA VERDI E SINISTRA",109
"AREZZO","LORO CIUFFENNA","GIANI","EUGENIO","MOVIMENTO 5 STELLE",91
"AREZZO","LORO CIUFFENNA","TOMASI","ALESSANDRO","FRATELLI D'ITALIA",503
"AREZZO","LORO CIUFFENNA","TOMASI","ALESSANDRO","FORZA ITALIA-UDC-TOMASI PRESIDENTE",93
"AREZZO","LORO CIUFFENNA","TOMASI","ALESSANDRO","LEGA TOSCANA PER SALVINI PREMIER",89
"AREZZO","LORO CIUFFENNA","TOMASI","ALESSANDRO","E' ORA! LISTA CIVICA TOMASI PRESIDENTE",64
"AREZZO","LORO CIUFFENNA","TOMASI","ALESSANDRO","NOI MODERATI CIVICI PER TOMASI",32
"AREZZO","LORO CIUFFENNA","MORO BUNDU","ANTONELLA","TOSCANA ROSSA",68
"AREZZO","LUCIGNANO","GIANI","EUGENIO","PARTITO DEMOCRATICO",870
"AREZZO","LUCIGNANO","GIANI","EUGENIO","ALLEANZA VERDI E SINISTRA",29
"AREZZO","LUCIGNANO","GIANI","EUGENIO","EUGENIO GIANI PRESIDENTE CASA RIFORMISTA",28
"AREZZO","LUCIGNANO","GIANI","EUGENIO","MOVIMENTO 5 STELLE",20
"AREZZO","LUCIGNANO","TOMASI","ALESSANDRO","FRATELLI D'ITALIA",299
"AREZZO","LUCIGNANO","TOMASI","ALESSANDRO","LEGA TOSCANA PER SALVINI PREMIER",72
"AREZZO","LUCIGNANO","TOMASI","ALESSANDRO","FORZA ITALIA-UDC-TOMASI PRESIDENTE",45
"AREZZO","LUCIGNANO","TOMASI","ALESSANDRO","E' ORA! LISTA CIVICA TOMASI PRESIDENTE",13
"AREZZO","LUCIGNANO","TOMASI","ALESSANDRO","NOI MODERATI CIVICI PER TOMASI",10
"AREZZO","LUCIGNANO","MORO BUNDU","ANTONELLA","TOSCANA ROSSA",19
"AREZZO","MARCIANO DELLA CHIANA","GIANI","EUGENIO","PARTITO DEMOCRATICO",380
"AREZZO","MARCIANO DELLA CHIANA","GIANI","EUGENIO","EUGENIO GIANI PRESIDENTE CASA RIFORMISTA",83
"AREZZO","MARCIANO DELLA CHIANA","GIANI","EUGENIO","ALLEANZA VERDI E SINISTRA",29
"AREZZO","MARCIANO DELLA CHIANA","GIANI","EUGENIO","MOVIMENTO 5 STELLE",26
"AREZZO","MARCIANO DELLA CHIANA","TOMASI","ALESSANDRO","FRATELLI D'ITALIA",338
"AREZZO","MARCIANO DELLA CHIANA","TOMASI","ALESSANDRO","FORZA ITALIA-UDC-TOMASI PRESIDENTE",59
"AREZZO","MARCIANO DELLA CHIANA","TOMASI","ALESSANDRO","LEGA TOSCANA PER SALVINI PREMIER",45
"AREZZO","MARCIANO DELLA CHIANA","TOMASI","ALESSANDRO","NOI MODERATI CIVICI PER TOMASI",23
"AREZZO","MARCIANO DELLA CHIANA","TOMASI","ALESSANDRO","E' ORA! LISTA CIVICA TOMASI PRESIDENTE",10
"AREZZO","MARCIANO DELLA CHIANA","MORO BUNDU","ANTONELLA","TOSCANA ROSSA",18
"AREZZO","MONTEMIGNAIO","GIANI","EUGENIO","PARTITO DEMOCRATICO",103
"AREZZO","MONTEMIGNAIO","GIANI","EUGENIO","ALLEANZA VERDI E SINISTRA",8
"AREZZO","MONTEMIGNAIO","GIANI","EUGENIO","EUGENIO GIANI PRESIDENTE CASA RIFORMISTA",8
"AREZZO","MONTEMIGNAIO","GIANI","EUGENIO","MOVIMENTO 5 STELLE",7
"AREZZO","MONTEMIGNAIO","TOMASI","ALESSANDRO","FRATELLI D'ITALIA",52
"AREZZO","MONTEMIGNAIO","TOMASI","ALESSANDRO","E' ORA! LISTA CIVICA TOMASI PRESIDENTE",15
"AREZZO","MONTEMIGNAIO","TOMASI","ALESSANDRO","FORZA ITALIA-UDC-TOMASI PRESIDENTE",14
"AREZZO","MONTEMIGNAIO","TOMASI","ALESSANDRO","LEGA TOSCANA PER SALVINI PREMIER",12
"AREZZO","MONTEMIGNAIO","TOMASI","ALESSANDRO","NOI MODERATI CIVICI PER TOMASI",1
"AREZZO","MONTEMIGNAIO","MORO BUNDU","ANTONELLA","TOSCANA ROSSA",7
"AREZZO","MONTERCHI","TOMASI","ALESSANDRO","E' ORA! LISTA CIVICA TOMASI PRESIDENTE",269
"AREZZO","MONTERCHI","TOMASI","ALESSANDRO","FRATELLI D'ITALIA",126
"AREZZO","MONTERCHI","TOMASI","ALESSANDRO","LEGA TOSCANA PER SALVINI PREMIER",24
"AREZZO","MONTERCHI","TOMASI","ALESSANDRO","FORZA ITALIA-UDC-TOMASI PRESIDENTE",24
"AREZZO","MONTERCHI","TOMASI","ALESSANDRO","NOI MODERATI CIVICI PER TOMASI",14
"AREZZO","MONTERCHI","GIANI","EUGENIO","PARTITO DEMOCRATICO",126
"AREZZO","MONTERCHI","GIANI","EUGENIO","EUGENIO GIANI PRESIDENTE CASA RIFORMISTA",38
"AREZZO","MONTERCHI","GIANI","EUGENIO","ALLEANZA VERDI E SINISTRA",24
"AREZZO","MONTERCHI","GIANI","EUGENIO","MOVIMENTO 5 STELLE",19
"AREZZO","MONTERCHI","MORO BUNDU","ANTONELLA","TOSCANA ROSSA",17
"AREZZO","MONTE SAN SAVINO","TOMASI","ALESSANDRO","FRATELLI D'ITALIA",974
"AREZZO","MONTE SAN SAVINO","TOMASI","ALESSANDRO","LEGA TOSCANA PER SALVINI PREMIER",200
"AREZZO","MONTE SAN SAVINO","TOMASI","ALESSANDRO","FORZA ITALIA-UDC-TOMASI PRESIDENTE",177
"AREZZO","MONTE SAN SAVINO","TOMASI","ALESSANDRO","E' ORA! LISTA CIVICA TOMASI PRESIDENTE",98
"AREZZO","MONTE SAN SAVINO","TOMASI","ALESSANDRO","NOI MODERATI CIVICI PER TOMASI",50
"AREZZO","MONTE SAN SAVINO","GIANI","EUGENIO","PARTITO DEMOCRATICO",983
"AREZZO","MONTE SAN SAVINO","GIANI","EUGENIO","EUGENIO GIANI PRESIDENTE CASA RIFORMISTA",201
"AREZZO","MONTE SAN SAVINO","GIANI","EUGENIO","ALLEANZA VERDI E SINISTRA",98
"AREZZO","MONTE SAN SAVINO","GIANI","EUGENIO","MOVIMENTO 5 STELLE",96
