FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE_AGGR,Aggregato,BRKDW_INDUSTRY_NACE_REV2,Branca di attività economica (ATECO 2007),TYPE_EMPLOYMENT,Tipologia di occupazione,EMPLOYMENT_STATUS,Posizione nella professione,ADJUSTMENT,Correzione,EDITION,Edizione,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione',NOTE_REF_AREA,Territorio (NOTE_REF_AREA),NOTE_DATA_TYPE_AGGR,Aggregato (NOTE_DATA_TYPE_AGGR),NOTE_BRKDW_INDUSTRY_NACE_REV2,Branca di attività economica (ATECO 2007) (NOTE_BRKDW_INDUSTRY_NACE_REV2),NOTE_TYPE_EMPLOYMENT,Tipologia di occupazione (NOTE_TYPE_EMPLOYMENT),NOTE_EMPLOYMENT_STATUS,Posizione nella professione (NOTE_EMPLOYMENT_STATUS),NOTE_ADJUSTMENT,Correzione (NOTE_ADJUSTMENT),NOTE_EDITION,Edizione (NOTE_EDITION),BASE_PER,Anno base,UNIT_MEAS,Unità di misura,UNIT_MULT,Unità di moltiplicazione
A,Annuale,IT,Italia,PS,Occupati (migliaia),_T,Totale attività economiche,TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2024,26544.6,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),_T,Totale attività economiche,TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2025,26835.1,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),A,'Agricoltura, silvicoltura e pesca',TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2014,903.2,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),A,'Agricoltura, silvicoltura e pesca',TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2015,921.5,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),A,'Agricoltura, silvicoltura e pesca',TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2016,952,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),A,'Agricoltura, silvicoltura e pesca',TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2017,940.9,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),A,'Agricoltura, silvicoltura e pesca',TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2018,964.4,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),A,'Agricoltura, silvicoltura e pesca',TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2019,959.3,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),A,'Agricoltura, silvicoltura e pesca',TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2020,939.6,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),A,'Agricoltura, silvicoltura e pesca',TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2021,937.8,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),A,'Agricoltura, silvicoltura e pesca',TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2022,940.2,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),A,'Agricoltura, silvicoltura e pesca',TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2023,942.9,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),A,'Agricoltura, silvicoltura e pesca',TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2024,945.3,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),A,'Agricoltura, silvicoltura e pesca',TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2025,951,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),B,Industria estrattiva,TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2014,22.7,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),B,Industria estrattiva,TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2015,21.9,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),B,Industria estrattiva,TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2016,21.2,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),B,Industria estrattiva,TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2017,21,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),B,Industria estrattiva,TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2018,20.8,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),B,Industria estrattiva,TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2019,20.6,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),B,Industria estrattiva,TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2020,19.9,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),B,Industria estrattiva,TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2021,19.2,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),B,Industria estrattiva,TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2022,18.9,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),B,Industria estrattiva,TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2023,18.4,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),B,Industria estrattiva,TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2024,18.5,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),B,Industria estrattiva,TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2025,18.8,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),C,Industria manifatturiera,TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2014,3804.2,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),C,Industria manifatturiera,TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2015,3771,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),C,Industria manifatturiera,TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2016,3806.1,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),C,Industria manifatturiera,TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2017,3828.4,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),C,Industria manifatturiera,TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2018,3867.3,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),C,Industria manifatturiera,TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2019,3893.3,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),C,Industria manifatturiera,TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2020,3812.5,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),C,Industria manifatturiera,TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2021,3820,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),C,Industria manifatturiera,TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2022,3874,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),C,Industria manifatturiera,TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2023,3929.3,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),C,Industria manifatturiera,TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2024,3954.7,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),C,Industria manifatturiera,TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2025,3922.6,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),D_E,'Fornitura di energia elettrica, gas, vapore e aria condizionata, fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e risanamento',TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2014,289.8,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),D_E,'Fornitura di energia elettrica, gas, vapore e aria condizionata, fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e risanamento',TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2015,290.8,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),D_E,'Fornitura di energia elettrica, gas, vapore e aria condizionata, fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e risanamento',TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2016,295.1,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),D_E,'Fornitura di energia elettrica, gas, vapore e aria condizionata, fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e risanamento',TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2017,296.3,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),D_E,'Fornitura di energia elettrica, gas, vapore e aria condizionata, fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e risanamento',TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2018,301.4,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),D_E,'Fornitura di energia elettrica, gas, vapore e aria condizionata, fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e risanamento',TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2019,306.6,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),D_E,'Fornitura di energia elettrica, gas, vapore e aria condizionata, fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e risanamento',TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2020,306,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),D_E,'Fornitura di energia elettrica, gas, vapore e aria condizionata, fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e risanamento',TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2021,310.2,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),D_E,'Fornitura di energia elettrica, gas, vapore e aria condizionata, fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e risanamento',TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2022,316.5,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),D_E,'Fornitura di energia elettrica, gas, vapore e aria condizionata, fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e risanamento',TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2023,328.2,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),D_E,'Fornitura di energia elettrica, gas, vapore e aria condizionata, fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e risanamento',TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2024,338.3,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),D_E,'Fornitura di energia elettrica, gas, vapore e aria condizionata, fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e risanamento',TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2025,345.5,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),F,Costruzioni,TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2014,1549,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),F,Costruzioni,TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2015,1528,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),F,Costruzioni,TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2016,1527.7,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),F,Costruzioni,TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2017,1513.6,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
A,Annuale,IT,Italia,PS,Occupati (migliaia),F,Costruzioni,TOT,Totale,9,Totale,N,Dati grezzi,2026M3,Mar-2026,2018,1512.6,,,,,,,,,,,,,CORREZ__N_N1,Dati grezzi:sono al lordo delle fluttuazioni stagionali e degli effetti riconducibili alla diversa composizione di calendario del periodo di riferimento.,,,,,EURO,Euro,3,Migliaia
